CLASS,INITIAL_HEIGHT,INITIAL_WEIGHT,DISTANCE
person,323.0,362.0,0.5
bicycle,-1.0,-1.0,-1.0
car,-1.0,-1.0,-1.0
motorcycle,-1.0,-1.0,-1.0
airplane,-1.0,-1.0,-1.0
bus,-1.0,-1.0,-1.0
train,-1.0,-1.0,-1.0
truck,-1.0,-1.0,-1.0
boat,-1.0,-1.0,-1.0
traffic light,-1.0,-1.0,-1.0
fire hydrant,-1.0,-1.0,-1.0
stop sign,-1.0,-1.0,-1.0
parking meter,-1.0,-1.0,-1.0
bench,-1.0,-1.0,-1.0
bird,-1.0,-1.0,-1.0
cat,-1.0,-1.0,-1.0
dog,-1.0,-1.0,-1.0
horse,-1.0,-1.0,-1.0
sheep,-1.0,-1.0,-1.0
cow,-1.0,-1.0,-1.0
elephant,-1.0,-1.0,-1.0
bear,-1.0,-1.0,-1.0
zebra,-1.0,-1.0,-1.0
giraffe,-1.0,-1.0,-1.0
backpack,-1.0,-1.0,-1.0
umbrella,-1.0,-1.0,-1.0
handbag,-1.0,-1.0,-1.0
tie,-1.0,-1.0,-1.0
suitcase,-1.0,-1.0,-1.0
frisbee,-1.0,-1.0,-1.0
skis,-1.0,-1.0,-1.0
snowboard,-1.0,-1.0,-1.0
sports ball,-1.0,-1.0,-1.0
kite,-1.0,-1.0,-1.0
baseball bat,-1.0,-1.0,-1.0
baseball glove,-1.0,-1.0,-1.0
skateboard,-1.0,-1.0,-1.0
surfboard,-1.0,-1.0,-1.0
tennis racket,-1.0,-1.0,-1.0
bottle,-1.0,-1.0,-1.0
wine glass,-1.0,-1.0,-1.0
cup,-1.0,-1.0,-1.0
fork,-1.0,-1.0,-1.0
knife,-1.0,-1.0,-1.0
spoon,-1.0,-1.0,-1.0
bowl,-1.0,-1.0,-1.0
banana,-1.0,-1.0,-1.0
apple,-1.0,-1.0,-1.0
sandwich,-1.0,-1.0,-1.0
orange,-1.0,-1.0,-1.0
broccoli,-1.0,-1.0,-1.0
carrot,-1.0,-1.0,-1.0
hot dog,-1.0,-1.0,-1.0
pizza,-1.0,-1.0,-1.0
donut,-1.0,-1.0,-1.0
cake,-1.0,-1.0,-1.0
chair,-1.0,-1.0,-1.0
couch,-1.0,-1.0,-1.0
potted plant,-1.0,-1.0,-1.0
bed,-1.0,-1.0,-1.0
dining table,-1.0,-1.0,-1.0
toilet,-1.0,-1.0,-1.0
tv,-1.0,-1.0,-1.0
laptop,-1.0,-1.0,-1.0
mouse,-1.0,-1.0,-1.0
remote,-1.0,-1.0,-1.0
keyboard,-1.0,-1.0,-1.0
cell phone,315.0,186.0,0.03
microwave,-1.0,-1.0,-1.0
oven,-1.0,-1.0,-1.0
toaster,-1.0,-1.0,-1.0
sink,-1.0,-1.0,-1.0
refrigerator,-1.0,-1.0,-1.0
book,-1.0,-1.0,-1.0
clock,-1.0,-1.0,-1.0
vase,-1.0,-1.0,-1.0
scissors,-1.0,-1.0,-1.0
teddy bear,-1.0,-1.0,-1.0
hair drier,-1.0,-1.0,-1.0
toothbrush,-1.0,-1.0,-1.0
